FK_RESENAR,PK_ARENDE,ARENDE_FARDSATT,ARENDE_ANTAL_LEDSAGARE,ARENDE_ELMOPED,ARENDE_ENSAMAKNING,ARENDE_FRAMSATESPLACERING,ARENDE_ALLERGIANPASSAT,ARENDE_HUND,ARENDE_LANSGRANSDISPENS,ARENDE_BATTAXI,ARENDE_BRYGGA_1,ARENDE_BRYGGA_2
193506226962,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
193605227317,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
193708197474,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
193710219209,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
193801147061,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
193801248471,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
193802169155,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
193802278485,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
193803039142,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
193803129182,,Taxi,0,Ja,Ja,Ja, , , , ,,
193804019036,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
193804139149,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
193804169245,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
193805089145,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
193805259169,,Taxi,0,Ja,Ja,Nej, , , , ,,
193806079079,,Taxi,0,Ja,Ja, , , , , ,,
193806099101,,Bartaxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
193807106590,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
193808319192,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
193809098894,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
193810157093,,Taxi,0,Ja,Nej,Nej, , , , ,,
193811214059,,Taxi,0,Ja,Nej, , , , , ,,
193812038895,,Taxi,0,Ja, , , , , , ,,
193812217044,,Rullstolstaxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
193901199020,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
193902218886,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
193903049165,,Bartaxi,0,Nej,Nej,Nej,Nej, , , ,,
193904286873,,Taxi,0,Nej,Nej,Nej, , , , ,,
193905165407,,Taxi,0,Nej,Nej, , , , , ,,
193905299198,,Taxi,0,Nej, , , , , , ,,
193906218890,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Brygga 1,Brygga 2
193907116580,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
193907189090,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
193908199163,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
193908238490,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
193909099206,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
193909189205,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
193909208419,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
193910179203,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
193910219181,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
193910288194,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
193911019143,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
193911137077,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
193912298894,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
194001279050,,Taxi,0,Ja,Ja,Ja, , , , ,,
194002049163,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
194002087874,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
194002219113,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
194002287086,,Bartaxi,0,Ja,Ja,Nej,Nej, , , ,,
194003137033,,Taxi,0,Ja,Ja,Nej, , , , ,,
194003189083,,Taxi,0,Ja,Ja, , , , , ,,
194004019180,,Bartaxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
194006038873,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
194006139184,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
194006178307,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
194006228979,,Rullstolstaxi,0,Ja,Nej,Nej, , , , ,,
194007219142,,Taxi,0,Ja,Nej, , , , , ,,
194008097497,,Taxi,0,Ja, , , , , , ,,
194009109077,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
194009279169,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
194010017053,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
194010126672,,Bartaxi,0,Nej,Nej,Nej,Nej, , , ,,
194010169185,,Taxi,0,Nej,Nej,Nej, , , , ,,
194011279090,,Taxi,0,Nej,Nej, , , , , ,,
194011306125,,Rullstolstaxi,0,Nej, , , , , , ,,
194012019149,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Brygga 1,Brygga 2
194012037224,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
194012178887,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
194012197010,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
194012239101,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
194101106393,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
194101144733,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
194101267013,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
194102013770,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
194102033877,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
194103027092,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
194103219202,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
194103319036,,Rullstolstaxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
194104148871,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
194104158193,,Taxi,0,Ja,Ja,Ja, , , , ,,
194105039038,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
194106067699,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
194106279161,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
194107086995,,Rullstolstaxi,0,Ja,Ja,Nej,Nej, , , ,,
194107149207,,Taxi,0,Ja,Ja,Nej, , , , ,,
194108019052,,Bartaxi,0,Ja,Ja, , , , , ,,
194108279185,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
194109157059,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
194109229080,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
194111299055,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
194112128154,,Taxi,0,Ja,Nej,Nej, , , , ,,
194112169182,,Bartaxi,0,Ja,Nej, , , , , ,,
194202269207,,Taxi,0,Ja, , , , , , ,,
194203027018,,Bartaxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
194203249034,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
194205167051,,Rullstolstaxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
194206044739,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
194206147490,,Rullstolstaxi,0,Nej,Nej,Nej, , , , ,,
194206178420,,Bartaxi,0,Nej,Nej, , , , , ,,
194207016835,,Taxi,0,Nej, , , , , , ,,
194207189095,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
194207294796,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
194207318785,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
194208106593,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
194208138844,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
194208174732,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
194209039140,,Bartaxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
194209177072,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
194209186974,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
194210078418,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
194210198174,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
194210219269,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
194210228476,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
194211016151,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
194301307056,,Taxi,0,Ja,Ja,Ja, , , , ,,
194302029204,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
194302096997,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
194303177093,,Bartaxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
194303193454,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
194303269049,,Rullstolstaxi,0,Ja,Ja,Nej, , , , ,,
194304074695,,Taxi,0,Ja,Ja, , , , , ,,
194305054753,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
194305166995,,Bartaxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
194306134760,,Rullstolstaxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
194307039042,,Bartaxi,0,Ja,Nej,Nej,Nej, , , ,,
194307199069,,Taxi,0,Ja,Nej,Nej, , , , ,,
194308124694,,Taxi,0,Ja,Nej, , , , , ,,
194309094714,,Taxi,0,Ja, , , , , , ,,
194309189126,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
194309269225,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
194310236593,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
194310308442,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
194311029005,,Taxi,0,Nej,Nej,Nej, , , , ,,
194311097093,,Taxi,0,Nej,Nej, , , , , ,,
194312095450,,Taxi,0,Nej, , , , , , ,,
194312298245,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
194401077674,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
194401168481,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
194401197480,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
194401216496,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
194401216595,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
194401229085,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
194402109062,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
194402168597,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
194402273462,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
194403059100,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
194403113154,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
194403157078,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
194404136055,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
194404277461,,Taxi,0,Ja,Ja,Ja, , , , ,,
194405013493,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
194405149057,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
194405229206,,Bartaxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
194405307051,,Rullstolstaxi,0,Ja,Ja,Nej,Nej, , , ,,
194406098824,,Taxi,0,Ja,Ja,Nej, , , , ,,
194406127029,,Bartaxi,0,Ja,Ja, , , , , ,,
194406187692,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
194407148180,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
194407237058,,Rullstolstaxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
194408028878,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
194409013838,,Bartaxi,0,Ja,Nej,Nej, , , , ,,
194409106855,,Taxi,0,Ja,Nej, , , , , ,,
194409149061,,Taxi,0,Ja, , , , , , ,,
194409168269,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
194409237312,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
194410119046,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
194410188876,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
194411155858,,Rullstolstaxi,0,Nej,Nej,Nej, , , , ,,
194411219183,,Taxi,0,Nej,Nej, , , , , ,,
194412198154,,Taxi,0,Nej, , , , , , ,,
194501103297,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
194501128278,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
194501278883,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
194502073416,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
194502198429,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
194502253190,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
194502278353,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
194503135883,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
194505249229,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
194506177031,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
194506177551,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
194506218983,,Bartaxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
194507018820,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
194507167072,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
194508236728,,Taxi,0,Ja,Ja,Ja, , , , ,,
194509287068,,Bartaxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
194510106331,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
194510168885,,Rullstolstaxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
194510194659,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
194511118780,,Taxi,0,Ja,Ja,Nej, , , , ,,
194512088149,,Taxi,0,Ja,Ja, , , , , ,,
194512137250,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
194512267743,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
194601136098,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
194601274758,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
194602138184,,Bartaxi,0,Ja,Nej,Nej, , , , ,,
194602226559,,Taxi,0,Ja,Nej, , , , , ,,
194602233415,,Taxi,0,Ja, , , , , , ,,
194603213424,,Rullstolstaxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
194604123275,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
194605076654,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
194606109108,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
194606233411,,Taxi,0,Nej,Nej,Nej, , , , ,,
194607054725,,Taxi,0,Nej,Nej, , , , , ,,
194607137454,,Bartaxi,0,Nej, , , , , , ,,
194607177872,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
194608154714,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
194610196695,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
194611213010,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
194701053151,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
194701124622,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
194701222798,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
194702122658,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
194702143464,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
194703103111,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
194704187006,,Bartaxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
194705233171,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
194706112234,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
194707193290,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
194709201836,,Bartaxi,0,Ja,Ja,Ja, , , , ,,
194710162381,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
194711232365,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
194711302267,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
194801171770,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
194801232606,,Taxi,0,Ja,Ja,Nej, , , , ,,
194802082364,,Taxi,0,Ja,Ja, , , , , ,,
194802162174,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
194803022328,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
194804032094,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
194805111855,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
194805192749,,Taxi,0,Ja,Nej,Nej, , , , ,,
194806172682,,Taxi,0,Ja,Nej, , , , , ,,
194806212231,,Taxi,0,Ja, , , , , , ,,
194807073103,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
194807073228,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
194807171899,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
194808192530,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
194808262341,,Taxi,0,Nej,Nej,Nej, , , , ,,
194809132386,,Bartaxi,0,Nej,Nej, , , , , ,,
194809301551,,Bartaxi,0,Nej, , , , , , ,,
194810042368,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
194810162331,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
194811092529,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
194811172115,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
194812161596,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
194812212282,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
194901022121,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
194901022188,,Bartaxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
194902283045,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
194903012658,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
194903312215,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
194904202621,,Taxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
194904262153,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
194905232841,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
194906062213,,Rullstolstaxi,0,Ja,Ja,Ja, , , , ,,
194906182284,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
194907282315,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
194909162150,,Taxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
194909272306,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
195001182046,,Taxi,0,Ja,Ja,Nej, , , , ,,
195001182061,,Rullstolstaxi,0,Ja,Ja, , , , , ,,
195001232296,,Bartaxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
195002132461,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
195002192382,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
195002281839,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
195003042222,,Taxi,0,Ja,Nej,Nej, , , , ,,
195003072260,,Taxi,0,Ja,Nej, , , , , ,,
195003151858,,Taxi,0,Ja, , , , , , ,,
195003282265,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
195004112354,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
195004302120,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
195005050975,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
195005202360,,Taxi,0,Nej,Nej,Nej, , , , ,,
195005251599,,Bartaxi,0,Nej,Nej, , , , , ,,
195006142524,,Rullstolstaxi,0,Nej, , , , , , ,,
195006262546,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
195006272354,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
195007282162,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
195007292435,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
195007312589,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
195008072307,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
195008121856,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
195008182304,,Rullstolstaxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
195008212226,,Taxi,0,Ja,Ja,Ja,Ja,Nej, , ,,
195009101824,,Taxi,0,Ja,Ja,Ja,Ja, , , ,,
195009162040,,Rullstolstaxi,0,Ja,Ja,Ja,Nej,Nej,Nej,Nej,,
195009301770,,Bartaxi,0,Ja,Ja,Ja,Nej,Nej,Nej, ,,
195010172483,,Taxi,0,Ja,Ja,Ja,Nej,Nej, , ,,
195010232618,,Taxi,0,Ja,Ja,Ja,Nej, , , ,,
195011012365,,Taxi,0,Ja,Ja,Ja, , , , ,,
195011052478,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej,Nej,,
195011132098,,Taxi,0,Ja,Ja,Nej,Nej,Nej,Nej, ,,
195011282182,,Rullstolstaxi,0,Ja,Ja,Nej,Nej,Nej, , ,,
195012042130,,Taxi,0,Ja,Ja,Nej,Nej, , , ,,
195012102165,,Taxi,0,Ja,Ja,Nej, , , , ,,
195101151818,,Bartaxi,0,Ja,Ja, , , , , ,,
195101271848,,Bartaxi,0,Ja,Nej,Nej,Nej,Nej,Nej,Nej,,
195102262267,,Taxi,0,Ja,Nej,Nej,Nej,Nej,Nej, ,,
195103181870,,Taxi,0,Ja,Nej,Nej,Nej,Nej, , ,,
195103222641,,Taxi,0,Ja,Nej,Nej,Nej, , , ,,
195104172555,,Taxi,0,Ja,Nej,Nej, , , , ,,
195105112584,,Taxi,0,Ja,Nej, , , , , ,,
195105222219,,Taxi,0,Ja, , , , , , ,,
195105292832,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej,Nej,,
195106062101,,Taxi,0,Nej,Nej,Nej,Nej,Nej,Nej, ,,
195106092249,,Taxi,0,Nej,Nej,Nej,Nej,Nej, , ,,
195106172181,,Taxi,0,Nej,Nej,Nej,Nej, , , ,,
195107132119,,Taxi,0,Nej,Nej,Nej, , , , ,,
195107152166,,Taxi,0,Nej,Nej, , , , , ,,
195107312323,,Rullstolstaxi,0,Nej, , , , , , ,,
195108012088,,Bartaxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,
195108122143,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja,Nej,,
195108191833,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Ja, ,,
195109081868,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej,Nej,,
195109182187,,Taxi,0,Ja,Ja,Ja,Ja,Ja,Nej, ,,
195109212224,,Taxi,0,Ja,Ja,Ja,Ja,Ja, , ,,
195109261494,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej,Nej,,
195110102166,,Taxi,0,Ja,Ja,Ja,Ja,Nej,Nej, ,,
