Pnr,PnrTyp,Tilltalskod,Fnamn,Mnamn,Enamn,Lan,Kommun,Fors,FbUtdelAdr2,FbPostnr,FbPostort,AvrOrsak,AviNamn,FbAviUtdelAdr,FbAviPostnr,FbAviPostort,Kon,SekrMark
192001239272,P,10,Robert, ,Halvfår tahrer,1,82,99,Henriksdalsringen 53,13132,Nacka,  ,"Halvfår tahrer, Robert",Henriksdalsringen 53/Tilia,13132,Nacka        ,M,N
192002039242,P,10,Pia, ,Ochrotomys,1,81,99,Mörtstigen 30,15139,Södertälje,AV,"Ochrotomys, Pia",Mörtstigen 30,15139,Södertälje   ,K,N
192002169239,P,10,Christian, ,Halvåsnor,1,27,99,Soltorpsvägen 8,14732,Tumba,  ,"Halvåsnor, Christian",Soltorpsvägen 8,14732,Tumba        ,M,N
192101069249,P,10,Birgit, ,Torskfiskar,1,80,99,Kinnaredsgränd 9,12572,Älvsjö,  ,"Torskfiskar, Birgit",Kinnaredsgränd 9/Ek,12572,Älvsjö       ,K,N
192201059272,P,10,Marcus, ,Hamsterråttor,1,80,99,Skarpnäcks Allé 62,12833,Skarpnäck,  ,"Hamsterråttor, Marcus",Skarpnäcks Allé 62,12833,Skarpnäck    ,M,N
192211203472,P,10,Arne, ,Guldmöss,1,80,99,Sergelgatan 12,11157,Stockholm,  ,"Guldmöss, Arne",Sergelgatan 12/Ulmus,11157,Stockholm    ,M,N
192301149247,P,10,Mona, ,Myxini  ,1,80,99,Kinnaredsgränd 9,12572,Älvsjö,  ,"Myxini  , Mona",Kinnaredsgränd 9,12572,Älvsjö       ,K,N
192401297250,P,10,David, ,Hjortråttor,1,91,99,Valstavägen 42,19550,Märsta,  ,"Hjortråttor, David",Valstavägen 42/Ek,19550,Märsta       ,M,N
192501239202,P,10,Felicia, ,Anarhichadidae,1,26,99,Visättravägen 49,14150,Huddinge,AV,"Anarhichadidae, Felicia",Visättravägen 49,14150,Huddinge     ,K,N
192502016773,P,10,Martin Jonas, ,Kolmule Micromesistius,3,80,99,Thunbergsvägen 14,75238,Uppsala,  ,"Kolmule Micromesistius, Martin Jonas",Thunbergsvägen 14,75238,Uppsala      ,M,N
192604278156,P,10,Viktor, ,Hjälmvaktel,1,92,99,SANDSTUGAN 2,14992,Nynäshamn,UV,"Hjälmvaktel, Viktor",SANDSTUGAN 2/Avenbok,14992,Nynäshamn    ,M,N
192703039202,P,10,Lisbeth, ,Lotidae,1,86,99,Olvontunet 7,18148,Lidingö,  ,"Lotidae, Lisbeth",Olvontunet 7,18148,Lidingö      ,K,N
192712077490,P,10,Johan Thomas, ,Guldlaxartade,1,26,99,Paradistorget 16,14147,Huddinge,  ,"Guldlaxartade, Johan Thomas",Paradistorget 16,14147,Huddinge     ,M,N
192804129175,P,10,Ingemar, ,Hoppråttor,1,36,99,Södra Jordbrovägen 33,13654,Haninge,  ,"Hoppråttor, Ingemar",Södra Jordbrovägen 33/Rönn,13654,Haninge      ,M,N
192902137666,P,10,Eva Maria, ,Dipodomys,1,40,99,Eldarevägen 13,15531,Nykvarn,AV,"Dipodomys, Eva Maria",Eldarevägen 13,15531,Nykvarn      ,K,N
193001016595,P,10,Niklas, ,Hönsgås,1,86,99,Herrgårdsstigen 4,18162,Lidingö,  ,"Hönsgås, Niklas",Herrgårdsstigen 4,18162,Lidingö      ,M,N
193102278367,P,10,Ana Maria, ,Threskiornis,1,81,99,Metarvägen 3,15335,Järna,  ,"Threskiornis, Ana Maria",Metarvägen 3,15335,Järna        ,K,N
193203289131,P,10,Emil, ,Ibisar,1,80,99,Svartågatan 36,12845,Bagarmossen,  ,"Ibisar, Emil",Svartågatan 36/Ulmus,12845,Bagarmossen  ,M,N
193212249282,P,10,Maja, ,Skärsnultra Symphodus,1,62,99,Vendevägen 5F,18269,Djursholm,  ,"Skärsnultra Symphodus, Maja",Vendevägen 5F,18269,Djursholm    ,K,N
193407116999,P,10,Patrik, ,Ibisnäbb,1,83,99,Rissneleden 41,17444,Sundbyberg,AV,"Ibisnäbb, Patrik",Rissneleden 41,17444,Sundbyberg   ,M,N
193506226962,P,10,Kajsa, ,Pirålar,1,28,99,Emanuel Birkes väg 8C,14430,Rönninge,  ,"Pirålar, Kajsa",Emanuel Birkes väg 8C,14430,Rönninge     ,K,N
193605227317,P,10,Kjell, ,Cricetomys,1,91,99,Olofsgatan 13,19330,Sigtuna,AV,"Cricetomys, Kjell",Olofsgatan 13,19330,Sigtuna      ,M,N
193708197474,P,10,Peter, ,Aeglefinus,1,80,99,Kristallvägen 49F ,12678,Hägersten,  ,"Aeglefinus, Peter",Kristallvägen 49F,12678,Hägersten    ,M,N
193710219209,P,10,Älva, ,Fiskar,1,36,99,Allévägen 9A,13756,Tungelsta,  ,"Fiskar, Älva",Allévägen 9A/Rönn,13756,Tungelsta    ,K,N
193801147061,P,10,Karin, ,Rhombus,1,80,99,Liljeholmsvägen 30,11761,Stockholm,  ,"Rhombus, Karin",Liljeholmsvägen 30,11761,Stockholm    ,K,N
193801248471,P,10,Alistair, ,Öring-Salmo,1,62,99,Berguddsvägen 4,18253,Danderyd,  ,"Öring-Salmo, Alistair",Berguddsvägen 4,18253,Danderyd     ,M,N
193802169155,P,10,Filip Henning, ,Fiskar,1,80,99,Sollidenbacken,11521,Stockholm,  ,"Fiskar, Filip Henning",Sollidenbacken,11521,Stockholm    ,M,N
193802217475,P,  , , , ,3,  ,99, ,     , ,  , , ,     ,             , ,J
193802278485,P,10,Athena Lerida, ,Rajiformes,1,23,99,Bråvallavägen,17561,Järfälla,  ,"Rajiformes, Athena Lerida",Bråvallavägen,17561,Järfälla     ,K,N
193803039142,P,10,Moira, ,Majfisk Alosa,1,80,99,Rindögatan 21,11558,Stockholm,  ,"Majfisk Alosa, Moira",Rindögatan 21,11558,Stockholm    ,K,N
193803129182,P,10,Erika, ,Barkråttor,12,64,99,Västra Hornsgatan 3,27432,Skurup,  ,"Barkråttor, Erika",Västra Hornsgatan 3,27432,Skurup       ,K,N
193804019036,P,10,Folke, ,Fjärsingfiskar,1,36,99,Furunäs 30,13770,Dalarö,  ,"Fjärsingfiskar, Folke",Furunäs 30,13770,Dalarö       ,M,N
193804139149,P,10,Vilhelmina, ,Sciurus,1,80,99,Hövdingagatan 13,12652,Hägersten,  ,"Sciurus, Vilhelmina",Hövdingagatan 13/Tysklönn,12652,Hägersten    ,K,N
193804169245,P,10,Maria, ,Grådykare,1,92,99,Odins väg 1C,14933,Nynäshamn,  ,"Grådykare, Maria",Odins väg 1C,14933,Nynäshamn    ,K,N
193805089145,P,10,Elise Marie, ,Laterna',1,91,99,Valstavägen 42,19550,Märsta,  ,"Laterna', Elise Marie",Valstavägen 42,19550,Märsta       ,K,N
193805259169,P,10,Maja, ,Scophthalmidae,4,61,99,Dalgatan 42,64632,Gnesta,  ,"Scophthalmidae, Maja",Dalgatan 42,64632,Gnesta       ,K,N
193806079079,P,10,Jombo, ,Hundhajar,14,80,99,Ljunggatan 13,41321,Göteborg,  ,"Hundhajar, Jombo",Ljunggatan 13,41321,Göteborg     ,M,N
193806099101,P,10,Ingegärd Elisabet, ,Bandicota,1,80,99,Hövdingagatan 13,12652,Hägersten,  ,"Bandicota, Ingegärd Elisabet",Hövdingagatan 13,12652,Hägersten    ,K,N
193807106590,P,10,Håkan, ,Jakanor,1,23,99,Ripvägen 12,17564,Järfälla,  ,"Jakanor, Håkan",Ripvägen 12,17564,Järfälla     ,M,N
193808319192,P,10,Mats Olov, ,Marulk Lophius,1,62,99,Bergstigen 12,18278,Stocksund,  ,"Marulk Lophius, Mats Olov",Bergstigen 12/Ek,18278,Stocksund    ,M,N
193809098894,P,10,Gunnar, ,Lophiiformes,1,80,99,Hövdingagatan 13,12652,Hägersten,  ,"Lophiiformes, Gunnar",Hövdingagatan 13,12652,Hägersten    ,M,N
193810157093,P,10,Nils Fredrik, ,Buskmöss,1,82,99,Sturevägen,13338,Saltsjöbaden,  ,"Buskmöss, Nils Fredrik",Sturevägen,13338,Saltsjöbaden ,M,N
193811214059,P,10,Anders, ,Hjälmvaktel,1,62,99,Vendevägen 5F,18269,Djursholm,  ,"Hjälmvaktel, Anders",Vendevägen 5F,18269,Djursholm    ,M,N
193812038895,P,10,Rudolfo Pierro, ,Hajar,25,84,99,August Malmsgatan 17B,98136,Kiruna,  ,"Hajar, Rudolfo Pierro",August Malmsgatan 17B,98136,Kiruna       ,M,N
193812217044,P,10,Ingrid Gunilla, ,Ibidorhyncha,1,86,99,Korsfararvägen 46,18140,Lidingö,  ,"Ibidorhyncha, Ingrid Gunilla",Korsfararvägen 46/Prunus,18140,Lidingö      ,K,N
193901199020,P,50,Ann Bea Cia Eva Fia Mia Pia, ,Clupeiformes,1,28,99,Emanuel Birkes väg 8C,14430,Rönninge,AV,"Clupeiformes, Ann Bea Cia E Fia M P",Emanuel Birkes väg 8C,14430,Rönninge     ,K,N
193902218886,P,10,Vivianne Marianne, ,Rheinardia,23,80,99,Ringvägen 21A,83137,Östersund,  ,"Rheinardia, Vivianne Marianne",Ringvägen 21A/Asp,83137,Östersund    ,K,N
193903049165,P,10,Inge-Gerd,Testmellannamn,Dvärghamstrar,3,80,99,Ölandsresan 51,75755,Uppsala,  ,"Testmellannamn Dvärghamstrar, Inge-G",Ölandsresan 51,75755,Uppsala      ,K,N
193904286873,P,10,Peter Marco, ,Anguilliformes,14,80,99,Ljunggatan 13,41321,Göteborg,  ,"Anguilliformes, Peter Marco",Ljunggatan 13,41321,Göteborg     ,M,N
193905165407,P,10,Johanna, ,Havskatt Anarhichas,25,84,99,August Malmsgatan 17B,98136,Kiruna,  ,"Havskatt Anarhichas, Johanna",August Malmsgatan 17B,98136,Kiruna       ,K,N
193905299198,P,10,Sven Ivar, ,Scorpaeniformes,4,86,99,Bruksvägen 6A,64751,Åkers Styckebruk,  ,"Scorpaeniformes, Sven Ivar",Bruksvägen 6A,64751,Åkers Styckeb,M,N
193906218890,P,10,Åke Wilhelm, ,Brama,1,80,99,Ölmevägen 15,12332,Farsta,  ,"Brama, Åke Wilhelm",Ölmevägen 15,12332,Farsta       ,M,N
193907116580,P,10,Kaarina, ,Ophidion,1,36,99,Södra Jordbrovägen 33,13654,Haninge,AV,"Ophidion, Kaarina",Södra Jordbrovägen 33,13654,Haninge      ,K,N
193907189090,P,10,Per August, ,Plegadis,1,92,99,Landgången 5,14935,Nynäshamn,  ,"Plegadis, Per August",Landgången 5,14935,Nynäshamn    ,M,N
193908199163,P,10,Ragna Berta, ,Priodontes,3,80,99,Thunbergsvägen 14,75238,Uppsala,  ,"Priodontes, Ragna Berta",Thunbergsvägen 14,75238,Uppsala      ,K,N
193908238490,P,10,Mark Allan, ,Grässnultra Centrolabrus,1,80,99,Rindögatan 21,11558,Stockholm,  ,"Grässnultra Centrolabrus, Mark Allan",Rindögatan 21,11558,Stockholm    ,M,N
193909099206,P,10,Stina Märta, ,Petromyzontidae,1,83,99,Rissneleden 41,17444,Sundbyberg,  ,"Petromyzontidae, Stina Märta",Rissneleden 41,17444,Sundbyberg   ,K,N
193909189205,P,10,Mary, ,Abborre Perca,1,91,99,Valstavägen 42,19550,Märsta,  ,"Abborre Perca, Mary",Valstavägen 42,19550,Märsta       ,K,N
193909208419,P,10,Simis, ,Lophiiformes,1,36,99,Furunäs 30,13770,Dalarö,  ,"Lophiiformes, Simis",Furunäs 30,13770,Dalarö       ,M,N
193910179203,P,10,Lisbeth, ,Laxfiskar,3,80,99,Klarbärsgatan 49,75452,Uppsala,  ,"Laxfiskar, Lisbeth",Klarbärsgatan 49,75452,Uppsala      ,K,N
193910219181,P,10,Siv Inez Maria, ,Kantnål Sygnathus,1,62,99,Vendevägen 5F,18269,Djursholm,  ,"Kantnål Sygnathus, Siv Inez Maria",Vendevägen 5F,18269,Djursholm    ,K,N
193910288194,P,10,Bernt Olof, ,Guldlaxartade,1,26,99,Terapivägen 16D,14156,Huddinge,  ,"Guldlaxartade, Bernt Olof",Terapivägen 16D,14156,Huddinge     ,M,N
193911019143,P,10,Allison, ,Sylvicapra,1,80,99,Sergelgatan 12,11157,Stockholm,  ,"Sylvicapra, Allison",Sergelgatan 12,11157,Stockholm    ,K,N
193911137077,P,10,Sverker Sr, ,Siluriformes,1,81,99,Nydalavägen 73,15251,Södertälje,AV,"Siluriformes, Sverker Sr",Nydalavägen 73/Acer,15251,Södertälje   ,M,N
193912298894,P,10,Erkii, ,Batoidea  ,23,80,99,Ringvägen 21A,83137,Östersund,AV,"Batoidea  , Erkii",Ringvägen 21A,83137,Östersund    ,M,N
194001279050,P,10,Tomas Ladd, ,Gemsar,1,80,99,Dalagatan 35B,11323,Stockholm,AV,"Gemsar, Tomas Ladd",Dalagatan 35B/Rönn,11323,Stockholm    ,M,N
194002049163,P,10,Asta, ,Pirålar,1,27,99,Vreta backe 24,14744,Tumba,AV,"Pirålar, Asta",Vreta backe 24,14744,Tumba        ,K,N
194002087874,P,10,Göran Petter, ,Microcephalus,1,23,99,Ripvägen 12,17564,Järfälla,AV,"Microcephalus, Göran Petter",Ripvägen 12,17564,Järfälla     ,M,N
194002219113,P,10,Nils Lennart, ,Dik-dikar,1,36,99,Allévägen 9A,13756,Tungelsta,AV,"Dik-dikar, Nils Lennart",Allévägen 9A,13756,Tungelsta    ,M,N
194002287086,P,10,Linnea, ,Guldlaxartade,23,80,99,Ringvägen 21A,83137,Östersund,  ,"Guldlaxartade, Linnea",Ringvägen 21A,83137,Östersund    ,K,N
194003137033,P,10,Gösta Sture, ,Myxiniformes,1,80,99,Sollidenbacken,11521,Stockholm,AT,"Myxiniformes, Gösta Sture",Sollidenbacken,11521,Stockholm    ,M,N
194003189083,P,10,Turla, ,Hjälmvaktel,1,62,99,Bergstigen 12,18278,Stocksund,AT,"Hjälmvaktel, Turla",Bergstigen 12,18278,Stocksund    ,K,N
194004019180,P,10,Monica Elisabeth, ,Osmeridae,1,27,99,Soltorpsvägen 8,14732,Tumba,AT,"Osmeridae, Monica Elisabeth",Soltorpsvägen 8,14732,Tumba        ,K,N
194006038873,P,10,Svenne, ,Sill/strömming Clupea,1,92,99,SANDSTUGAN 2,14992,Nynäshamn,AT,"Sill/strömming Clupea, Svenne",SANDSTUGAN 2/Quercus,14992,Nynäshamn    ,M,N
194006139184,P,10,Hulda Hansdotter, ,Ålartade,1,83,99,Rissneleden 41,17444,Sundbyberg,AT,"Ålartade, Hulda Hansdotter",Rissneleden 41,17444,Sundbyberg   ,K,N
194006178307,P,10,Sofia, ,Kolja Melanogrammus,1,80,99,Bivägen 12A ,12558,Älvsjö,AT,"Kolja Melanogrammus, Sofia",Bivägen 12A,12558,Älvsjö       ,K,N
194006228979,P,10,Rickard, ,Jättebälta,1,62,99,Vendevägen 5F,18269,Djursholm,  ,"Jättebälta, Rickard",Vendevägen 5F/Lundalm,18269,Djursholm    ,M,N
194007189196,P,  , , , ,3,  ,99, ,     , ,  , , ,     ,             , ,J
194007219142,P,10,Maria, ,Gräsmöss,1,92,99,Landgången 5,14935,Nynäshamn,AS,"Gräsmöss, Maria",Landgången 5,14935,Nynäshamn    ,K,N
194008097497,P,10,Jakko, ,Dipodomys,1,82,99,Bergstigen 117,13833,Älta,AS,"Dipodomys, Jakko",Bergstigen 117,13833,Älta         ,M,N
194008259287,P,  , , , ,3,  ,99, ,     , ,  , , ,     ,             , ,J
194009109077,P,12,Palt-Olof, ,Arvicanthis,1,27,99,Vreta backe 24,14744,Tumba,AS,"Arvicanthis, Palt-Olof",Vreta backe 24,14744,Tumba        ,M,N
194009279169,P,10,Elisabeth, ,Kantnålsfiskar,1,23,99,Bråvallavägen,17561,Järfälla,AS,"Kantnålsfiskar, Elisabeth",Bråvallavägen,17561,Järfälla     ,K,N
194010017053,P,10,Karl Håkan Oskar, ,Scombrus,1,86,99,Korsfararvägen 46,18140,Lidingö,AS,"Scombrus, Karl Håkan Oskar",Korsfararvägen 46/Salix,18140,Lidingö      ,M,N
194010126672,P,10,Marco, ,Fjällröding Salvelinus,1,80,99,Hövdingagatan 13,12652,Hägersten,  ,"Fjällröding Salvelinus, Marco",Hövdingagatan 13,12652,Hägersten    ,M,N
194010169185,P,10,Ragna, ,Irediparra,1,36,99,Furunäs 30,13770,Dalarö,AS,"Irediparra, Ragna",Furunäs 30,13770,Dalarö       ,K,N
194011279090,P,10,Karl, ,Ruda Carassius,1,27,99,Forvägen 17,14551,Norsborg,AS,"Ruda Carassius, Karl",Forvägen 17/Rönn,14551,Norsborg     ,M,N
194011306125,P,10,Eila, ,Glanis,1,80,99,Sergelgatan 12,11157,Stockholm,  ,"Glanis, Eila",Sergelgatan 12/Björk,11157,Stockholm    ,K,N
194012019149,P,10,Pagelle, ,Elandantiloper,24,82,99,Villagatan 2C,93162,Skellefteå,  ,"Elandantiloper, Pagelle",Villagatan 2C,93162,Skellefteå   ,K,N
194012037224,P,12,Merja Aulikki, ,Gadidae,1,80,99,Tideliusgatan 27,11869,Stockholm,OB,"Gadidae, Merja Aulikki",Tideliusgatan 27,11869,Stockholm    ,K,N
194012178887,P,10,Mona, ,Malar,1,80,99,Vårbergsplan 10,12743,Skärholmen,OB,"Malar, Mona",Vårbergsplan 10,12743,Skärholmen   ,K,N
194012197010,P,10,Lars Martin, ,Cereopsis,1,82,99,Laxgatan 8,13343,Saltsjöbaden,OB,"Cereopsis, Lars Martin",Laxgatan 8,13343,Saltsjöbaden ,M,N
194012239101,P,10,Lena Margareta, ,Barbatula,1,27,99,Vreta backe 24,14744,Tumba,OB,"Barbatula, Lena Margareta",Vreta backe 24,14744,Tumba        ,K,N
194101106393,P,10,Torsten Sven, ,Bandicota,1,81,99,Högmovägen 20,15186,Södertälje,OB,"Bandicota, Torsten Sven",Högmovägen 20,15186,Södertälje   ,M,N
194101144733,P,10,Toshidi Kanji, ,Antilope,12,64,99,Västra Hornsgatan 3,27432,Skurup,  ,"Antilope, Toshidi Kanji",Västra Hornsgatan 3,27432,Skurup       ,M,N
194101267013,P,10,Evert Oskar, ,Brungylta Labrus,1,80,99,Liljeholmsvägen 30,11761,Stockholm,  ,"Brungylta Labrus, Evert Oskar",Liljeholmsvägen 30,11761,Stockholm    ,M,N
194102013770,P,30,Erik Göran Thorbjörn, ,Aspius,1,26,99,Terapivägen 16D,14156,Huddinge,  ,"Aspius, Erik Göran Thorbjörn",Terapivägen 16D,14156,Huddinge     ,M,N
194102033877,P,10,Jens, ,Alpinus,1,80,99,Ölmevägen 15,12332,Farsta,  ,"Alpinus, Jens",Ölmevägen 15/Robinia,12332,Farsta       ,M,N
194103027092,P,10,Kenneth Otto Folke Gunnar, ,Taenia,7,80,99,Liedbergsgatan 3B,35230,Växjö,  ,"Taenia, Kenneth Otto Folke Gunnar",Liedbergsgatan 3B,35230,Växjö        ,M,N
194103219202,P,34,Ann Eva Ulla-Karin Isa Åsa Josefina Matilda, ,Cottidae,1,28,99,Westerdahlsvägen 39,14461,Rönninge,  ,"Cottidae, Ann E Ulla-Karin I Å J M",Westerdahlsvägen 39,14461,Rönninge     ,K,N
194103319036,P,10,Josef, ,Makrillfiskar,4,86,99,Bruksvägen 6A,64751,Åkers Styckebruk,  ,"Makrillfiskar, Josef",Bruksvägen 6A,64751,Åkers Styckeb,M,N
194104148871,P,10,Urban Erik, ,Petauroides,1,80,99,Dalagatan 35B,11323,Stockholm,OB,"Petauroides, Urban Erik",Dalagatan 35B,11323,Stockholm    ,M,N
194104158193,P,10,Pentti, ,Phodopus,1,36,99,Södra Jordbrovägen 33,13654,Haninge,AS,"Phodopus, Pentti",Södra Jordbrovägen 33,13654,Haninge      ,M,N
194105039038,P,10,Göran Gustav, ,Melops,12,64,99,Västra Hornsgatan 3,27432,Skurup,  ,"Melops, Göran Gustav",Västra Hornsgatan 3,27432,Skurup       ,M,N
194105199121,P,  , , , ,3,  ,99, ,     , ,  , , ,     ,             , ,J
194106067699,P,10,Jorma, ,Löja Alburnus,4,61,99,Dalgatan 42,64632,Gnesta,  ,"Löja Alburnus, Jorma",Dalgatan 42,64632,Gnesta       ,M,N
194106279161,P,10,Liisa, ,Cetorhinidae,1,82,99,Bergstigen 117,13833,Älta,  ,"Cetorhinidae, Liisa",Bergstigen 117/Ulmus,13833,Älta         ,K,N
194107086995,P,10,Svante Hans-Emil, ,Rödtunga Glyptocephalus,1,82,99,Laxgatan 8,13343,Saltsjöbaden,  ,"Rödtunga Glyptocephalus, Svante H-E",Laxgatan 8/Lind,13343,Saltsjöbaden ,M,N
194107149207,P,10,Birthe, ,Widegreni,12,64,99,Västra Hornsgatan 3,27432,Skurup,  ,"Widegreni, Birthe",Västra Hornsgatan 3,27432,Skurup       ,K,N
194107153415,P,  , , , ,3,  ,99, ,     , ,  , , ,     ,             , ,J
194108019052,P,10,Gottfrid, ,Knaggrocka Raja,12,64,99,Västra Hornsgatan 3,27432,Skurup,  ,"Knaggrocka Raja, Gottfrid",Västra Hornsgatan 3,27432,Skurup       ,M,N
194108279185,P,10,Anna,Testmellannamn,Cynoglossus,4,86,99,Bruksvägen 6A,64751,Åkers Styckebruk,  ,"Testmellannamn Cynoglossus, Anna",Bruksvägen 6A,64751,Åkers Styckeb,K,N
194109157059,P,10,Per Arne, ,Crossoptilon,1,92,99,Odins väg 1C,14933,Nynäshamn,  ,"Crossoptilon, Per Arne",Odins väg 1C,14933,Nynäshamn    ,M,N
194109229080,P,10,Gertrude Tuttan, ,Hornsimpa Triglopsis,1,62,99,Vendevägen 5F,18269,Djursholm,  ,"Hornsimpa Triglopsis, Gertrude T",Vendevägen 5F,18269,Djursholm    ,K,N
194111299055,P,10,Knut Einar, ,Fickspringmöss,14,80,99,Ljunggatan 13,41321,Göteborg,  ,"Fickspringmöss, Knut Einar",Ljunggatan 13,41321,Göteborg     ,M,N
194112128154,P,10,Egil, ,Saccostomus,25,84,99,August Malmsgatan 17B,98136,Kiruna,  ,"Saccostomus, Egil",August Malmsgatan 17B,98136,Kiruna       ,M,N
194112169182,P,10,Elma Eva, ,Petromyzontidae,14,80,99,Ljunggatan 13,41321,Göteborg,  ,"Petromyzontidae, Elma Eva",Ljunggatan 13,41321,Göteborg     ,K,N
194202269207,P,12,Carin-Britta, ,Känguruspringmöss,7,80,99,Liedbergsgatan 3B,35230,Växjö,  ,"Känguruspringmöss, Carin-Britta",Liedbergsgatan 3B,35230,Växjö        ,K,N
194203027018,P,10,Bengt, ,Fjärsing Trachinus,14,80,99,Ljunggatan 13,41321,Göteborg,  ,"Fjärsing Trachinus, Bengt",Ljunggatan 13,41321,Göteborg     ,M,N
194203249034,P,10,Gregory, ,Lamniformes,1,26,99,Paradistorget 16,14147,Huddinge,  ,"Lamniformes, Gregory",Paradistorget 16,14147,Huddinge     ,M,N
194205167051,P,10,John, ,Hajar,1,80,99,Sollidenbacken,11521,Stockholm,  ,"Hajar, John",Sollidenbacken,11521,Stockholm    ,M,N
194206044739,P,10,John Adolf, ,Havsnål Entelurus,1,80,99,Vårbergsplan 10,12743,Skärholmen,  ,"Havsnål Entelurus, John Adolf",Vårbergsplan 10,12743,Skärholmen   ,M,N
194206147490,P,10,Kurt, ,Cricetomys,1,80,99,Skarpnäcks Allé 62,12833,Skarpnäck,  ,"Cricetomys, Kurt",Skarpnäcks Allé 62,12833,Skarpnäck    ,M,N
194206178420,P,10,Martha, ,Strigocuscus,1,36,99,Södra Jordbrovägen 33,13654,Haninge,  ,"Strigocuscus, Martha",Södra Jordbrovägen 33,13654,Haninge      ,K,N
194207016835,P,10,Kurt Göran Erik, ,Känguruspringmöss,1,82,99,Bergstigen 117,13833,Älta,  ,"Känguruspringmöss, Kurt Göran Erik",Bergstigen 117,13833,Älta         ,M,N
194207189095,P,10,Bertil Gösta, ,Kantnål Sygnathus,24,82,99,Villagatan 2C,93162,Skellefteå,  ,"Kantnål Sygnathus, Bertil Gösta",Villagatan 2C,93162,Skellefteå   ,M,N
